symbol,company_name,exchange,sector,market_cap
ADGM,Adagio Medical Holdings Inc Common Stock,NASDAQ,Health Care,20900042
ADI,Analog Devices Inc. Common Stock,NASDAQ,Technology,1.94E+11
ADIL,Adial Pharmaceuticals Inc Common Stock,NASDAQ,Health Care,2284752
ADMA,ADMA Biologics Inc Common Stock,NASDAQ,Health Care,2455421105
ADP,Automatic Data Processing Inc. Common Stock,NASDAQ,Industrials,85086807000
ADPT,Adaptive Biotechnologies Corporation Common Stock,NASDAQ,Health Care,2316529701
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,NASDAQ,Consumer Discretionary,694415291
ADSEW,ADS-TEC ENERGY PLC Warrant,NASDAQ,Consumer Discretionary,33668620
ADSK,Autodesk Inc. Common Stock,NASDAQ,Technology,52266895433
ADTN,ADTRAN Holdings Inc. Common Stock,NASDAQ,Utilities,1480005098
ADTX,Aditxt Inc. Common Stock,NASDAQ,Health Care,126626
ADUR,Aduro Clean Technologies Inc. Common Stock,NASDAQ,Industrials,465072212
ADUS,Addus HomeCare Corporation Common Stock,NASDAQ,Health Care,1868717373
ADV,Advantage Solutions Inc. Class A Common Stock,NASDAQ,Real Estate,480731937
ADVB,Advanced Biomed Inc. Common Stock,NASDAQ,Health Care,8132635
ADXN,Addex Therapeutics Ltd American Depositary Shares,NASDAQ,Health Care,11218748
AEAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,NASDAQ,,0
AEAQW,Activate Energy Acquisition Corp. Warrant,NASDAQ,,0
AEBI,Aebi Schmidt Holding AG Common Stock ,NASDAQ,Industrials,848161267
AEC,Anfield Energy Inc. Common Shares,NASDAQ,Basic Materials,89106382
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,NASDAQ,Industrials,2462935
AEHR,Aehr Test Systems Common Stock,NASDAQ,Industrials,2748428405
AEI,Alset Inc. Common Stock (TX),NASDAQ,Finance,58343745
AEIS,Advanced Energy Industries Inc. Common Stock,NASDAQ,Technology,14648429484
AEMD,Aethlon Medical Inc. Common Stock,NASDAQ,Health Care,3156264
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,NASDAQ,Consumer Discretionary,380141980
AENTW,Alliance Entertainment Holding Corporation Warrant,NASDAQ,Consumer Discretionary,32108239
AEP,American Electric Power Company Inc. Common Stock,NASDAQ,Utilities,73196258217
AERT,Aeries Technology Inc. Class A Ordinary Share,NASDAQ,Consumer Discretionary,30878976
AERTW,Aeries Technology Inc. Warrant,NASDAQ,Consumer Discretionary,1164865
